revenue_id,budget,revenue,profit
tt0109444,62000000.0,215887717.0,153887717.0
tt0109446,45000000.0,117615211.0,72615211.0
tt0109506,15000000.0,94000000.0,79000000.0
tt0109813,46000000.0,341631208.0,295631208.0
tt0109830,55000000.0,677945399.0,622945399.0
tt0109831,6000000.0,254700832.0,248700832.0
tt0110093,45000000.0,61947267.0,16947267.0
tt0110357,45000000.0,788241776.0,743241776.0
tt0107426,35000000.0,4858139.0,-30141861.0
tt0111686,14000000.0,18090181.0,4090181.0
tt0110475,23000000.0,351583407.0,328583407.0
tt0110622,30000000.0,51132598.0,21132598.0
tt0110950,11500000.0,20079850.0,8579850.0
tt0105226,8000000.0,2000000.0,-6000000.0
tt0111257,30000000.0,350448145.0,320448145.0
tt0111438,27000000.0,101646581.0,74646581.0
tt0111503,115000000.0,378882411.0,263882411.0
tt0111756,63000000.0,25052000.0,-37948000.0
tt0110399,10000000.0,29392418.0,19392418.0
tt0110186,7000000.0,20851521.0,13851521.0
tt0111301,35000000.0,99423521.0,64423521.0
tt0110027,26000000.0,36800000.0,10800000.0
tt0113409,8000000.0,8946600.0,946600.0
tt0106226,34000000.0,32255440.0,-1744560.0
tt0109067,17080000.0,21011500.0,3931500.0
tt0109254,50000000.0,119208989.0,69208989.0
tt0106452,13000000.0,428868.0,-12571132.0
tt0106489,22000000.0,17287898.0,-4712102.0
tt0106505,13000000.0,2570145.0,-10429855.0
tt0106519,30000000.0,36516012.0,6516012.0
tt0106582,70000000.0,255000211.0,185000211.0
tt0109456,40000000.0,19726050.0,-20273950.0
tt0106677,6900000.0,7993039.0,1093039.0
tt0106697,57000000.0,159055768.0,102055768.0
tt0106941,30000000.0,11146270.0,-18853730.0
tt0106918,42000000.0,270248367.0,228248367.0
tt0106965,20000000.0,153698625.0,133698625.0
tt0106977,44000000.0,368875760.0,324875760.0
tt0107004,35000000.0,18635620.0,-16364380.0
tt0107076,18000000.0,74189677.0,56189677.0
tt0107144,25000000.0,133752825.0,108752825.0
tt0107206,40000000.0,176997168.0,136997168.0
tt0107207,13000000.0,65796862.0,52796862.0
tt0107290,63000000.0,920100000.0,857100000.0
tt0107302,9000000.0,2395231.0,-6604769.0
tt0110265,1500000.0,418961.0,-1081039.0
tt0107362,85000000.0,137298489.0,52298489.0
tt0107507,13500000.0,11285588.0,-2214412.0
tt0107554,3500000.0,27900000.0,24400000.0
tt0116253,55000000.0,121969216.0,66969216.0
tt0107614,25000000.0,441286195.0,416286195.0
tt0110657,12000000.0,15826984.0,3826984.0
tt0110678,20000000.0,15340000.0,-4660000.0
tt0107808,30000000.0,135130999.0,105130999.0
tt0107818,26000000.0,206678440.0,180678440.0
tt0107822,7000000.0,116700000.0,109700000.0
tt0107840,14000000.0,27515786.0,13515786.0
tt0110955,11000000.0,11439193.0,439193.0
tt0107943,11500000.0,23237911.0,11737911.0
tt0110971,40000000.0,24332324.0,-15667676.0
tt0107978,22000000.0,10696210.0,-11303790.0
tt0107977,20000000.0,35739755.0,15739755.0
tt0107983,11500000.0,3275585.0,-8224415.0
tt0108000,800000.0,1001437.0,201437.0
tt0108002,12000000.0,22750363.0,10750363.0
tt0108052,22000000.0,321365567.0,299365567.0
tt0111127,13000000.0,7820688.0,-5179312.0
tt0111143,25000000.0,48063435.0,23063435.0
tt0108160,21000000.0,227799884.0,206799884.0
tt0108162,40000000.0,116300000.0,76300000.0
tt0083658,28000000.0,33139618.0,5139618.0
tt0108174,20000000.0,11585483.0,-8414517.0
tt0108255,48000000.0,20915465.0,-27084535.0
tt0111323,7400000.0,7690013.0,290013.0
tt0111400,50000000.0,16478900.0,-33521100.0
tt0107688,18000000.0,75634409.0,57634409.0
tt0108333,30000000.0,53898845.0,23898845.0
tt0108358,25000000.0,56505065.0,31505065.0
tt0108399,12500000.0,12281551.0,-218449.0
tt0110763,27000000.0,13670688.0,-13329312.0
tt0099785,18000000.0,476684675.0,458684675.0
tt0099653,22000000.0,505000000.0,483000000.0
tt0103639,28000000.0,504050219.0,476050219.0
tt0103064,100000000.0,520000000.0,420000000.0
tt0099348,22000000.0,424208848.0,402208848.0
tt0096895,35000000.0,411348924.0,376348924.0
tt0102926,19000000.0,272742922.0,253742922.0
tt0029583,1488423.0,184925486.0,183437063.0
tt0101414,25000000.0,377350553.0,352350553.0
tt0032910,2600000.0,84300000.0,81700000.0
tt0100405,14000000.0,463000000.0,449000000.0
tt0065214,6244087.0,638641.0,-5605446.0
tt0116282,7000000.0,60611975.0,53611975.0
tt0116514,4000000.0,16675000.0,12675000.0
tt0065421,4000000.0,55675257.0,51675257.0
tt0117381,30000000.0,102616183.0,72616183.0
tt0116414,12000000.0,4939939.0,-7060061.0
tt0115956,46000000.0,100860818.0,54860818.0
tt0117060,80000000.0,457696359.0,377696359.0
tt0116136,57000000.0,115267375.0,58267375.0
tt0116683,38000000.0,28921264.0,-9078736.0
tt0116269,13000000.0,9789900.0,-3210100.0
tt0117705,80000000.0,250200000.0,170200000.0
tt0062711,9000000.0,2500000.0,-6500000.0
tt0117104,25000000.0,10070000.0,-14930000.0
tt0117420,30000000.0,57400547.0,27400547.0
tt0095776,31000000.0,74151346.0,43151346.0
tt0116322,25530000.0,20080020.0,-5449980.0
tt0113362,35000000.0,15000000.0,-20000000.0
tt0115963,15000000.0,24769466.0,9769466.0
tt0117260,4800000.0,3014000.0,-1786000.0
tt0117500,75000000.0,335062621.0,260062621.0
tt0117998,92000000.0,494471524.0,402471524.0
tt0115571,25000000.0,14048372.0,-10951628.0
tt0057012,1800000.0,9440272.0,7640272.0
tt0117331,45000000.0,17300889.0,-27699111.0
tt0117765,50000000.0,113309743.0,63309743.0
tt0116669,45000000.0,58620973.0,13620973.0
tt0117951,4000000.0,16491080.0,12491080.0
tt0116629,75000000.0,816969268.0,741969268.0
tt0116277,55000000.0,18626419.0,-36373581.0
tt0116583,100000000.0,100138851.0,138851.0
tt0115798,47000000.0,102825796.0,55825796.0
tt0116778,27000000.0,25023434.0,-1976566.0
tt0116213,100000000.0,242295562.0,142295562.0
tt0117218,54000000.0,128769345.0,74769345.0
tt0116040,80000000.0,159212469.0,79212469.0
tt0116365,30000000.0,29359216.0,-640784.0
tt0116905,5000000.0,13269963.0,8269963.0
tt0117333,32000000.0,152036382.0,120036382.0
tt0117628,3500000.0,9482579.0,5982579.0
tt0117913,40000000.0,152266007.0,112266007.0
tt0116320,25000000.0,17193231.0,-7806769.0
tt0116707,13000000.0,4619014.0,-8380986.0
tt0116313,26000000.0,116400000.0,90400000.0
tt0117438,80000000.0,309492681.0,229492681.0
tt0115857,50000000.0,60209334.0,10209334.0
tt0117008,36000000.0,33459416.0,-2540584.0
tt0116191,6000000.0,22231658.0,16231658.0
tt0115986,13000000.0,17917287.0,4917287.0
tt0117826,15000000.0,5600000.0,-9400000.0
tt0117718,6000000.0,12643776.0,6643776.0
tt0116225,50000000.0,42277365.0,-7722635.0
tt0115632,2962051.0,3011195.0,49144.0
tt0117918,45000000.0,53854588.0,8854588.0
tt0104109,200000.0,300000.0,100000.0
tt0068646,6000000.0,245066411.0,239066411.0
tt0104558,900000.0,20483423.0,19583423.0
tt0116985,500000.0,431326.0,-68674.0
tt0115736,4500000.0,7011317.0,2511317.0
tt0120004,60000000.0,33956608.0,-26043392.0
tt0116654,40000000.0,49627779.0,9627779.0
tt0115783,25000000.0,22611954.0,-2388046.0
tt0113253,5000000.0,15116634.0,10116634.0
tt0045152,2540800.0,7200000.0,4659200.0
tt0043278,2723903.0,4500000.0,1776097.0
tt0054698,2500000.0,9500000.0,7000000.0
tt0052357,2479000.0,28000000.0,25521000.0
tt0047396,1000000.0,36764313.0,35764313.0
tt0025316,325000.0,4500000.0,4175000.0
tt0053125,4000000.0,13275000.0,9275000.0
tt0053604,3000000.0,25000000.0,22000000.0
tt0053291,2883848.0,25000000.0,22116152.0
tt0056923,4000000.0,13474588.0,9474588.0
tt0034583,878000.0,10462500.0,9584500.0
tt0033870,375000.0,1000000.0,625000.0
tt0058385,17000000.0,72070731.0,55070731.0
tt0047437,2238813.0,10000000.0,7761187.0
tt0046250,1500000.0,12000000.0,10500000.0
tt0032138,2777000.0,33754967.0,30977967.0
tt0031381,4000000.0,400176459.0,396176459.0
tt0043014,1752000.0,5000000.0,3248000.0
tt0033467,839727.0,23217674.0,22377947.0
tt0062622,10500000.0,68700000.0,58200000.0
tt0042192,1400000.0,63463.0,-1336537.0
tt0032143,1688000.0,2270000.0,582000.0
tt0032976,1288000.0,6000000.0,4712000.0
tt0038787,2000000.0,24464742.0,22464742.0
tt0038109,1500000.0,7000000.0,5500000.0
tt0048728,2500000.0,8750000.0,6250000.0
tt0031725,1365000.0,2279000.0,914000.0
tt0029843,2033000.0,3981000.0,1948000.0
tt0037008,1020000.0,2000000.0,980000.0
tt0027125,609000.0,3202000.0,2593000.0
tt0049261,5400000.0,35000000.0,29600000.0
tt0048028,1.0,5.0,4.0
tt0025878,226408.0,1423000.0,1196592.0
tt0048960,6000000.0,42000000.0,36000000.0
tt0038650,3180000.0,9644124.0,6464124.0
tt0031679,1500000.0,9600000.0,8100000.0
tt0063350,114000.0,30000000.0,29886000.0
tt0043265,1300000.0,10750000.0,9450000.0
tt0051459,3000000.0,17570324.0,14570324.0
tt0022879,4.0,25.0,21.0
tt0117011,25000000.0,51702483.0,26702483.0
tt0117039,28000000.0,16900000.0,-11100000.0
tt0116830,67000000.0,47267001.0,-19732999.0
tt0117603,9000000.0,41590886.0,32590886.0
tt0115994,2300000.0,49620.0,-2250380.0
tt0116259,38000000.0,17380126.0,-20619874.0
tt0115862,50000000.0,22540359.0,-27459641.0
tt0046672,5000000.0,28200000.0,23200000.0
tt0106611,14000000.0,154864401.0,140864401.0
tt0042332,2900000.0,263591415.0,260691415.0
tt0057546,3000000.0,22182353.0,19182353.0
tt0102798,48000000.0,390493908.0,342493908.0
tt0058331,6000000.0,102272727.0,96272727.0
tt0033563,812000.0,1600000.0,788000.0
tt0066817,20000000.0,17900000.0,-2100000.0
tt0043274,3000000.0,572000000.0,569000000.0
tt0082406,12000000.0,29800000.0,17800000.0
tt0059742,8200000.0,286214286.0,278014286.0
tt0095016,28000000.0,140767956.0,112767956.0
tt0104692,10000000.0,32101000.0,22101000.0
tt0117589,4500000.0,13417292.0,8917292.0
tt0117791,16000000.0,1985001.0,-14014999.0
tt0116908,65000000.0,89456761.0,24456761.0
tt0116409,50000000.0,75000000.0,25000000.0
tt0116404,2400000.0,5731103.0,3331103.0
tt0120107,45000000.0,2154540.0,-42845460.0
tt0116722,7000000.0,405000.0,-6595000.0
tt0117509,14500000.0,147298761.0,132798761.0
tt0117802,200000.0,4505922.0,4305922.0
tt0117665,44000000.0,165615285.0,121615285.0
tt0067992,3000000.0,4000000.0,1000000.0
tt0070707,2000000.0,18344729.0,16344729.0
tt0066808,2000000.0,11833696.0,9833696.0
tt0095159,7500000.0,62493712.0,54993712.0
tt0079470,4000000.0,20045115.0,16045115.0
tt0059243,12000000.0,25333333.0,13333333.0
tt0061418,2500000.0,50700000.0,48200000.0
tt0046912,1400000.0,3000000.0,1600000.0
tt0092890,6000000.0,213954274.0,207954274.0
tt0105236,1200000.0,14661007.0,13461007.0
tt0091763,6000000.0,138530565.0,132530565.0
tt0098627,6500000.0,30218387.0,23718387.0
tt0103772,49000000.0,352927224.0,303927224.0
tt0101761,38000000.0,34416893.0,-3583107.0
tt0104036,3705538.0,62548947.0,58843409.0
tt0104348,12500000.0,10725228.0,-1774772.0
tt0084707,12000000.0,30036000.0,18036000.0
tt0083866,10500000.0,792965326.0,782465326.0
tt0099371,60000000.0,157920733.0,97920733.0
tt0092099,15000000.0,356830601.0,341830601.0
tt0044081,1800000.0,8000000.0,6200000.0
tt0116378,12500000.0,1227324.0,-11272676.0
tt0117318,36000000.0,20300385.0,-15699615.0
tt0072081,5000000.0,41833347.0,36833347.0
tt0101775,6788000.0,13878334.0,7090334.0
tt0096754,70000000.0,90000098.0,20000098.0
tt0080749,1000000.0,21378361.0,20378361.0
tt0082340,6000000.0,50244700.0,44244700.0
tt0082533,1000000.0,17985893.0,16985893.0
tt0071853,400000.0,5028948.0,4628948.0
tt0115610,7000000.0,1100000.0,-5900000.0
tt0101700,4000000.0,1794187.0,-2205813.0
tt0116209,27000000.0,231976425.0,204976425.0
tt0097937,645180.0,14743391.0,14098211.0
tt0105488,3000000.0,33946224.0,30946224.0
tt0102370,4.0,29.0,25.0
tt0100332,500000.0,3779620.0,3279620.0
tt0073486,3000000.0,108981275.0,105981275.0
tt0080684,18000000.0,538400000.0,520400000.0
tt0093779,16000000.0,30857814.0,14857814.0
tt0082971,18000000.0,389925971.0,371925971.0
tt0090605,18500000.0,183316455.0,164816455.0
tt0060196,1200000.0,6000000.0,4800000.0
tt0050083,350000.0,1000000.0,650000.0
tt0056172,15000000.0,69995385.0,54995385.0
tt0066921,2200000.0,26589000.0,24389000.0
tt0056592,2000000.0,13129846.0,11129846.0
tt0078788,31500000.0,89460381.0,57960381.0
tt0064116,5000000.0,5321508.0,321508.0
tt0086190,32350000.0,572700000.0,540350000.0
tt0093191,2500000.0,3200000.0,700000.0
tt0099685,25000000.0,46836394.0,21836394.0
tt0078748,11000000.0,104931801.0,93931801.0
tt0089881,11500000.0,4069653.0,-7430347.0
tt0054215,806948.0,32000000.0,31193052.0
tt0080455,27000000.0,115229890.0,88229890.0
tt0071562,13000000.0,47542841.0,34542841.0
tt0093058,17000000.0,46357676.0,29357676.0
tt0086879,18000000.0,51973029.0,33973029.0
tt0081398,18000000.0,23000000.0,5000000.0
tt0075686,4000000.0,38251425.0,34251425.0
tt0086197,27000000.0,21500000.0,-5500000.0
tt0082096,14000000.0,85000000.0,71000000.0
tt0070735,5500000.0,159616327.0,154116327.0
tt0088247,6400000.0,78371200.0,71971200.0
tt0103873,3000000.0,242623.0,-2757377.0
tt0097441,18000000.0,26828365.0,8828365.0
tt0100150,14000000.0,5080409.0,-8919591.0
tt0097165,16400000.0,235860116.0,219460116.0
tt0061722,3000000.0,104945305.0,101945305.0
tt0052311,829000.0,2247465.0,1418465.0
tt0050212,3000000.0,27200000.0,24200000.0
tt0071315,6000000.0,30000000.0,24000000.0
tt0040897,3800000.0,4307000.0,507000.0
tt0081505,19000000.0,44017374.0,25017374.0
tt0092005,8000000.0,52287414.0,44287414.0
tt0092991,3600000.0,5923044.0,2323044.0
tt0057115,4000000.0,11744471.0,7744471.0
tt0077416,15000000.0,50000000.0,35000000.0
tt0107048,14600000.0,70906973.0,56306973.0
tt0105695,14000000.0,159157447.0,145157447.0
tt0056218,80000000.0,96105910.0,16105910.0
tt0088763,19000000.0,381109762.0,362109762.0
tt0101921,11000000.0,119418501.0,108418501.0
tt0066206,12000000.0,89800000.0,77800000.0
tt0094625,8000000.0,553171.0,-7446829.0
tt0091203,16000000.0,5900000.0,-10100000.0
tt0061512,3000000.0,16217773.0,13217773.0
tt0072431,2800000.0,86273333.0,83473333.0
tt0102536,3500000.0,2015810.0,-1484190.0
tt0032553,2000000.0,11000000.0,9000000.0
tt0032455,2280000.0,83320000.0,81040000.0
tt0044706,730000.0,8000000.0,7270000.0
tt0052618,15000000.0,146900000.0,131900000.0
tt0088258,2500000.0,4736202.0,2236202.0
tt0097576,48000000.0,474171806.0,426171806.0
tt0083987,22000000.0,77737889.0,55737889.0
tt0096332,17000000.0,10006806.0,-6993194.0
tt0091867,3000000.0,20966644.0,17966644.0
tt0084503,12000000.0,22244207.0,10244207.0
tt0087553,14400000.0,34700291.0,20300291.0
tt0049223,1900000.0,3250000.0,1350000.0
tt0064115,6000000.0,102308889.0,96308889.0
tt0087884,1746964.0,2181987.0,435023.0
tt0098635,16000000.0,92823546.0,76823546.0
tt0103644,50000000.0,159773545.0,109773545.0
tt0082010,10000000.0,31973249.0,21973249.0
tt0056869,2500000.0,11403529.0,8903529.0
tt0103874,40000000.0,215862692.0,175862692.0
tt0103919,6000000.0,25792310.0,19792310.0
tt0101540,35000000.0,182300000.0,147300000.0
tt0074285,1800000.0,33800000.0,32000000.0
tt0087800,1800000.0,25504513.0,23704513.0
tt0075005,2800000.0,60922980.0,58122980.0
tt0117731,46000000.0,150000000.0,104000000.0
tt0117666,1000000.0,24444121.0,23444121.0
tt0116705,60000000.0,129832389.0,69832389.0
tt0117372,40000000.0,48093211.0,8093211.0
tt0117477,3000000.0,2503829.0,-496171.0
tt0115433,54000000.0,320689294.0,266689294.0
tt0099423,70000000.0,240031094.0,170031094.0
tt0079945,35000000.0,139000000.0,104000000.0
tt0102975,27000000.0,96900000.0,69900000.0
tt0098382,30000000.0,70200000.0,40200000.0
tt0084726,12000000.0,96800000.0,84800000.0
tt0088170,18000000.0,87000000.0,69000000.0
tt0092007,24000000.0,133000000.0,109000000.0
tt0103776,80000000.0,280000000.0,200000000.0
tt0096487,13000000.0,44726644.0,31726644.0
tt0077631,6000000.0,181813770.0,175813770.0
tt0084021,13200000.0,15171476.0,1971476.0
tt0100114,12000000.0,46044400.0,34044400.0
tt0105690,35000000.0,156563139.0,121563139.0
tt0073195,7000000.0,470654000.0,463654000.0
tt0077766,20000000.0,187884007.0,167884007.0
tt0085750,20500000.0,87987055.0,67487055.0
tt0116996,70000000.0,101371017.0,31371017.0
tt0115906,3000000.0,153155.0,-2846845.0
tt0116695,50000000.0,273552592.0,223552592.0
tt0093822,6000000.0,29180280.0,23180280.0
tt0116999,23000000.0,12803305.0,-10196695.0
tt0117571,14000000.0,173046663.0,159046663.0
tt0104691,40000000.0,75505856.0,35505856.0
tt0116250,55000000.0,141047179.0,86047179.0
tt0120390,55000000.0,11466088.0,-43533912.0
tt0119664,55000000.0,31987563.0,-23012437.0
tt0118928,116000000.0,178127760.0,62127760.0
tt0119937,8000000.0,589304.0,-7410696.0
tt0118548,50000000.0,50068310.0,68310.0
tt0120434,25000000.0,36400360.0,11400360.0
tt0116922,15000000.0,3675201.0,-11324799.0
tt0120036,30000000.0,13130349.0,-16869651.0
tt0119008,35000000.0,41954997.0,6954997.0
tt0116743,3000000.0,4109095.0,1109095.0
tt0119951,28000000.0,41230799.0,13230799.0
tt0120053,68000000.0,118063304.0,50063304.0
tt0119528,45000000.0,302710615.0,257710615.0
tt0120094,20000000.0,60000000.0,40000000.0
tt0118972,90000000.0,140807547.0,50807547.0
tt0118829,32000000.0,3566637.0,-28433363.0
tt0120389,10000000.0,17979739.0,7979739.0
tt0118623,35000000.0,791830.0,-34208170.0
tt0118615,45000000.0,136885767.0,91885767.0
tt0118655,16500000.0,67683989.0,51183989.0
tt0118771,36000000.0,50159144.0,14159144.0
tt0119116,90000000.0,263920180.0,173920180.0
tt0119578,2000000.0,2900000.0,900000.0
tt0119567,73000000.0,229074524.0,156074524.0
tt0118880,75000000.0,224012234.0,149012234.0
tt0120179,160000000.0,164508066.0,4508066.0
tt0117724,500000.0,10300.0,-489700.0
tt0118688,125000000.0,238207122.0,113207122.0
tt0119282,85000000.0,252712101.0,167712101.0
tt0119738,38000000.0,299288605.0,261288605.0
tt0057345,900000.0,528428.0,-371572.0
tt0119094,80000000.0,245676146.0,165676146.0
tt0119654,90000000.0,589390539.0,499390539.0
tt0120133,28000000.0,8345056.0,-19654944.0
tt0118884,90000000.0,171120329.0,81120329.0
tt0119173,50000000.0,48169156.0,-1830844.0
tt0082198,20000000.0,79114085.0,59114085.0
tt0118887,15000000.0,44862187.0,29862187.0
tt0119081,60000000.0,26673242.0,-33326758.0
