revenue_id,budget,imdb_id,revenue,profit
122,22000000.0,tt0111070,189833357.0,167833357.0
123,25000000.0,tt0111161,28341469.0,3341469.0
124,25000000.0,tt0114614,4064495.0,-20935505.0
125,38000000.0,tt0111280,120000000.0,82000000.0
126,6000000.0,tt0114609,12000000.0,6000000.0
127,11000000.0,tt0108550,10032765.0,-967235.0
128,30000000.0,tt0114857,24048000.0,-5952000.0
129,17000000.0,tt0114924,182057016.0,165057016.0
130,3000000.0,tt0110598,15119639.0,12119639.0
131,15000000.0,tt0109040,107217396.0,92217396.0
132,5000000.0,tt0104779,1862805.0,-3137195.0
133,62000000.0,tt0109444,215887717.0,153887717.0
134,45000000.0,tt0109446,117615211.0,72615211.0
135,15000000.0,tt0109506,94000000.0,79000000.0
136,46000000.0,tt0109813,341631208.0,295631208.0
137,55000000.0,tt0109830,677945399.0,622945399.0
138,6000000.0,tt0109831,254700832.0,248700832.0
139,45000000.0,tt0110093,61947267.0,16947267.0
140,45000000.0,tt0110357,788241776.0,743241776.0
141,35000000.0,tt0107426,4858139.0,-30141861.0
142,14000000.0,tt0111686,18090181.0,4090181.0
143,23000000.0,tt0110475,351583407.0,328583407.0
144,30000000.0,tt0110622,51132598.0,21132598.0
145,11500000.0,tt0110950,20079850.0,8579850.0
146,8000000.0,tt0105226,2000000.0,-6000000.0
147,30000000.0,tt0111257,350448145.0,320448145.0
148,27000000.0,tt0111438,101646581.0,74646581.0
149,115000000.0,tt0111503,378882411.0,263882411.0
150,63000000.0,tt0111756,25052000.0,-37948000.0
151,10000000.0,tt0110399,29392418.0,19392418.0
152,7000000.0,tt0110186,20851521.0,13851521.0
153,35000000.0,tt0111301,99423521.0,64423521.0
154,26000000.0,tt0110027,36800000.0,10800000.0
155,8000000.0,tt0113409,8946600.0,946600.0
156,34000000.0,tt0106226,32255440.0,-1744560.0
157,17080000.0,tt0109067,21011500.0,3931500.0
158,50000000.0,tt0109254,119208989.0,69208989.0
159,13000000.0,tt0106452,428868.0,-12571132.0
160,22000000.0,tt0106489,17287898.0,-4712102.0
161,13000000.0,tt0106505,2570145.0,-10429855.0
162,30000000.0,tt0106519,36516012.0,6516012.0
163,70000000.0,tt0106582,255000211.0,185000211.0
164,40000000.0,tt0109456,19726050.0,-20273950.0
165,6900000.0,tt0106677,7993039.0,1093039.0
166,57000000.0,tt0106697,159055768.0,102055768.0
167,30000000.0,tt0106941,11146270.0,-18853730.0
168,42000000.0,tt0106918,270248367.0,228248367.0
169,20000000.0,tt0106965,153698625.0,133698625.0
170,44000000.0,tt0106977,368875760.0,324875760.0
171,35000000.0,tt0107004,18635620.0,-16364380.0
172,18000000.0,tt0107076,74189677.0,56189677.0
173,25000000.0,tt0107144,133752825.0,108752825.0
174,40000000.0,tt0107206,176997168.0,136997168.0
175,13000000.0,tt0107207,65796862.0,52796862.0
176,63000000.0,tt0107290,920100000.0,857100000.0
177,9000000.0,tt0107302,2395231.0,-6604769.0
178,1500000.0,tt0110265,418961.0,-1081039.0
179,85000000.0,tt0107362,137298489.0,52298489.0
180,13500000.0,tt0107507,11285588.0,-2214412.0
181,3500000.0,tt0107554,27900000.0,24400000.0
182,55000000.0,tt0116253,121969216.0,66969216.0
183,25000000.0,tt0107614,441286195.0,416286195.0
184,12000000.0,tt0110657,15826984.0,3826984.0
185,20000000.0,tt0110678,15340000.0,-4660000.0
186,30000000.0,tt0107808,135130999.0,105130999.0
187,26000000.0,tt0107818,206678440.0,180678440.0
188,7000000.0,tt0107822,116700000.0,109700000.0
189,14000000.0,tt0107840,27515786.0,13515786.0
190,11000000.0,tt0110955,11439193.0,439193.0
191,11500000.0,tt0107943,23237911.0,11737911.0
192,40000000.0,tt0110971,24332324.0,-15667676.0
193,22000000.0,tt0107978,10696210.0,-11303790.0
194,20000000.0,tt0107977,35739755.0,15739755.0
195,11500000.0,tt0107983,3275585.0,-8224415.0
196,800000.0,tt0108000,1001437.0,201437.0
197,12000000.0,tt0108002,22750363.0,10750363.0
198,22000000.0,tt0108052,321365567.0,299365567.0
199,13000000.0,tt0111127,7820688.0,-5179312.0
200,25000000.0,tt0111143,48063435.0,23063435.0
201,21000000.0,tt0108160,227799884.0,206799884.0
202,40000000.0,tt0108162,116300000.0,76300000.0
203,28000000.0,tt0083658,33139618.0,5139618.0
204,20000000.0,tt0108174,11585483.0,-8414517.0
205,48000000.0,tt0108255,20915465.0,-27084535.0
206,7400000.0,tt0111323,7690013.0,290013.0
207,50000000.0,tt0111400,16478900.0,-33521100.0
208,18000000.0,tt0107688,75634409.0,57634409.0
209,30000000.0,tt0108333,53898845.0,23898845.0
210,25000000.0,tt0108358,56505065.0,31505065.0
211,12500000.0,tt0108399,12281551.0,-218449.0
212,27000000.0,tt0110763,13670688.0,-13329312.0
213,18000000.0,tt0099785,476684675.0,458684675.0
